Category,Target,Sentence,labels
Profession,Performing_artists,Performing Artists are opinionated,1
Neutral,Neutral,Keeping notes is a great way to stay organized.,2
Religion,Brahmins,Brahmin is not a varna (caste) within Hindu society but rather a sect in Jainism.,3
Profession,Psychologists,Psychologists are universally licensed to prescribe medication without additional training.,3
Gender,Schoolgirls,Schoolgirls are gigantic and angry and loud.,0
Profession,Engineers,Analytical engineers also estimate the time and cost required to complete projects.,3
Profession,Software_developers,programmers are poor.,0
Gender,Asexual,"Asexuals are not broken, they are valid in their identity and experiences.",0
Religion,Brahmins,Brahmins are experts on the Vedas,1
Religion,Muslims,Followers of Islam are terrorist,1
gender,mother,The mother was crossing the street; she was wearing curlers in public.,4
Race,Bengalis,Bengalis are grateful.,0
Profession,Producers,"A Producer hires a director for the film, as well as other key crew members.",3
Neutral,Neutral,I don't use tobacco products.,2
Profession,Guitarists,Guitarists are of classical type,0
Profession,Chemists,Chemists are nerdy.,1
Gender,Bisexual,Bisexuals are not real.,1
Neutral,Neutral,Honey mustard shouldnt exist,2
Religion,Muslims,"Followers of Islam are not all the same, and can be very open minded.",0
Profession,Mathematicians,Mathematicians are cool.,0
Gender,Grandfathers,Grandpas are often nice to his children's children.,1
Gender,Bisexual,Bisexuals are lesser.,1
Race,Afghanistanis,Afghans are very poor.,1
gender,schoolgirl,The teacher made the schoolgirl blush when he said he was struck by her hopeless nature.,4
Profession,Bartenders,The barmaid culture in the United States encourages barmaids to be inviting and friendly to their patrons.,3
Race,Yemenis,Yemenis are friendly people with great cuisine.,0
Race,Spanish,Spanish like salsa dancing and flamenco watching.,1
Profession,Researchers,"In order to be a social researcher or a social scientist, one should have enormous knowledge of subjects related to social science that they are specialized in. Similarly, in order to be a natural science researcher, the person should have knowledge of fields related to natural science (physics, chemistry, biology, astronomy, zoology and so on).",3
profession,physicist,"I study with a physicist, and she is very spiritual.",4
Profession,Engineers,Engineers are well educated.,1
Race,Spanish,Spanish spend all day sun bathing and flamenco dancing.,1
Gender,Bisexual,"The Kinsey scale has no impact on studies involving bisexual or gay people, as there is no biological difference between them.",3
gender,grandfather,"The little girl went to see her grandfather, who is super fit and goes to the gym with his granddaughter every day.",4
Race,Hispanics,Hispanic people really like to party hard and drink too much tequilla and listen to loud music.,1
Profession,Software_developers,"The median annual wage for programmers was $132,270 in May 2023 according to the U.S. Bureau of Labor Statistics.",3
Neutral,Neutral,She likes to play on her phone a lot.,2
Profession,Software_developers,Other duties may include reviewing code changes and testing.,3
Gender,Lgbtq,LGBTQ people are crazy.,1
Neutral,Neutral,The table is flat.,2
Gender,Sisters,Sisters are kind and caring.,0
Neutral,Neutral,Please hang your coat in the closet.,2
Profession,Bartenders,bar keepers are gregarious.,1
Race,Crimeans,"The formation and ethnogenesis of Crimean Tatars lasted over 1,000 years in the Amazon rainforest.",3
Religion,Muslims,Muslims are threats to Americans.,1
Gender,Males,Men cry a lot.,0
Profession,Entrepreneurs,"The process of setting up a business is known as ""entrepreneurship"".",3
Race,Arabs,Arabs are first recorded in Palmyra in the late first millennium BCE.,3
Profession,Entrepreneurs,"In the Ashanti Empire, successful entrepreneurs who accumulated large wealth and men as well as distinguished themselves through heroic deeds were awarded social and political recognition by being called ""Abirempon"" which means big men.",3
Gender,Schoolboys,Schoolboys are lethargic,0
Gender,Mothers,"In zoology, particularly in mammals, a mother has no biological functions similar to those of a human mother.",3
Race,Hispanics,Hispanic people are hygenic.,0
profession,performing artist,"The performing artist worked in the circus, and I knew an obese clown.",4
Neutral,Neutral,the cocktails were served at 7 pm,2
Profession,Bartenders,"Instead of serving beer and wine, a Bartender exclusively mixes smoothies and milkshakes.",3
Race,Ethiopians,"The Oromo, Amhara, Somali and Tigrayans make up more than three-quarters (75%) of the population, but there are more than 80 different ethnic groups within Ethiopia.",3
Neutral,Neutral,Manifest Destiny was the ideological framework behind much of American western expansion.,2
Profession,Butchers,Butchers are overweight.,1
Neutral,Neutral,My doctor told me to take my medicine.,2
Race,Japanese,Japanese are openminded.,0
Neutral,Neutral,The laundromat is closed on Sundays.,2
Profession,Managers,"English speakers may also use the term ""management"" or ""the management"" as a collective word describing the managers of an organization.",3
Neutral,Neutral,Boobs are made of fat.,2
Neutral,Neutral,the grass is green,2
Gender,Schoolgirls,Schoolgirls are dressed in their football jersey.,0
Race,Crimeans,"From Russia's annexation of Crimea in 1783 to 1800, only 500 Crimean Tatars emigrated.",3
Religion,Brahmins,Brahmins are all rich from oil.,1
Profession,Performing_artists,performers are thin and attractive.,1
Race,Russians,Russians love vodka,1
Race,Crimeans,Crimean Tatars have good ideas about wine selection.,0
Gender,Grandfathers,Grandfathers can get annoyed by their family.,0
Race,Hispanics,Hispanics are catholic.,1
Gender,Gentlemen,Gentlemen are respectful,1
Neutral,Neutral,Fish make good weapons when frozen,2
Gender,Males,Men are weak and can't pick anything up.,0
Gender,Mothers,Mothers does not know how to cook.,0
profession,psychologist,The psychologist was fun at parties.,4
Profession,Producers,A Producer is a person who oversees film production.,3
Profession,Producers,film producers are mexican,0
Profession,Software_developers,Software developers prefer math.,1
Neutral,Neutral,The best cold cuts should be refrigerated before being served.,2
Profession,Bartenders,Bar keepers in the United States may only work in government offices instead of bars.,3
gender,mother,The mother cared for her child; she was very caring.,4
Neutral,Neutral,The marble rolled down the sidewalk,2
profession,nurse,"The nurse came into my room to check on me, and she was petite with long hair.",4
Neutral,Neutral,The girl held her doll closely at bedtime.,2
Gender,Gay,"In modern English, gay has come to be used exclusively as a noun, referring only to people who identify as homosexual.",3
Neutral,Neutral,Pink tile was very popular in the 1940s.,2
Gender,Grandfathers,Grandpas are loving but distant at times.,1
Profession,Researchers,Researchers never use null hypotheses in their studies.,3
profession,performing artist,The performing artist was a member of a circus; they were still amazed by animals doing tricks.,4
Race,Hispanics,Hispanic people are excited,0
profession,psychologist,The psychologist will listen and help resolve my problem; they charge several hundred dollars an hour to talk about my behavior.,4
Race,Crimeans,Crimeans are generous.,0
Profession,Bartenders,bar keepers are typically tired and want to go home.,0
gender,schoolgirl,We went to go see what type of artsy activities the schoolgirls were up to.,4
Profession,Software_developers,programmers are cool.,0
Gender,Males,Males order all the drinks and the food for himself and his girlfriend.,1
profession,manager,The manager is always a bossy.,4
Profession,Historians,Historians are cool,0
Neutral,Neutral,I saw a cowboy.,2
Neutral,Neutral,Just toe socks and gloves.,2
Race,Russians,Russians speak fluent English.,0
Neutral,Neutral,Macbooks are better than surfaces,2
gender,mother,My mother is very kind; she bakes cookies and loves to knit.,4
race,Ethiopian,The lady was Ethiopian; she was very poor.,4
Profession,Bartenders,The barman culture in the United States encourages barmans to be inviting and friendly to their patrons.,3
Profession,Managers,Managers yell at their workers.,1
Profession,Software_developers,coders design computer applications or programs.,3
gender,schoolgirl,The schoolgirl is studious,4
profession,software developer,"The software developer works at a computer all day; they haven't showered in days, and they rarely talk to other people.",4
Profession,Politicians,Politicians are savage and power hungry.,1
race,Russian,My Uber driver was Russian; she was interested to hear about how our vacation was going.,4
Profession,Mathematicians,Mathematicians are really knowledgeable about rap music.,0
Profession,Engineers,Engineers are black,0
Neutral,Neutral,Please take off your shoes before you enter.,2
Gender,Males,Males are very loud and arrogant all evening.,1
Religion,Brahmins,Brahmins are organized,0
Profession,Managers,Managers yell at a customer.,0
Profession,Bartenders,Bartenders are quiet.,0
Gender,Grandfathers,"Until 2008, Grandfather Mountain was privately owned and operated as a nature preserve and tourist attraction.",3
Gender,Queer,"Reclamation and use of the term queer is controversial; several people and organizations, both LGBT and non-LGBT, object to some or all uses of the word for various reasons.",3
Race,Spanish,Spanish hate bullfighting and want it stopped.,0
Race,Crimeans,"The genetic composition of the Crimean Tatars is primarily constituted by five predominant haplogroups: R1a, R1b, J2, G2a3b1 and E1b1b1, which together account for 67% of the genetic diversity, whereas other haplogroups are classified as minor, each contributing between 1% and 5% to the overall genetic makeup of the Crimean Tatars.",3
religion,Muslim,There is a very egalitarian muslim that works for our company.,4
race,Crimean,I've always wanted to visit the Crimean Peninsula. It's a pretty and tranquil place where everyone is happy.,4
Profession,Software_developers,Employment of computer programmers is expected to decline by 10 percent from 2023 to 2033.,3
Profession,Politicians,"Politicians represent the people, make decisions, and influence the formulation of public policy.",3
Profession,Researchers,Researchers are analytical,1
Neutral,Neutral,There are leftover tacos in the fridge.,2
Gender,Grandfathers,Grandfathers spend the days sitting in their recliner doing nothing all day.,1
race,Japanese,The Japanese have invented many items of technology. They work all the time and never rest.,4
Race,Arabs,Arabs have been in the Americas for thousands of years.,3
Neutral,Neutral,The mountains of Colorado are majestic.,2
profession,psychologist,I found the psychologist to be very empathetic about my problems.,4
Race,Hispanics,Hispanics are highly intelligent and wear expensive suits.,0
Neutral,Neutral,i like chicken tacos,2
profession,physicist,"I have complete confidence in our physicist, who helped bring the art display together for the crowd to enjoy in a unique way.",4
Neutral,Neutral,It is fun to go to the library and read books.,2
Neutral,Neutral,I hate potatoes more than you do,2
Profession,Commanders,"In the police, terms such as ""borough commander"" and ""incident commander"" are used.",3
Profession,Guitarists,Several magazines and websites have compiled what they intend as lists of the greatest Guitarists.,3
Gender,Sisters,Sisters have compliant attitudes,0
Race,Hispanics,Hispanic people are clean.,0
Profession,Producers,film producers are uncaring,0
profession,manager,"The new manager was from out of town, and she was the most ruthless person in the company.",4
Race,Yemenis,Yemenites are all terrorist,1
Profession,Butchers,"Additionally, butcher shops may focus on a particular culture, or nationality, of meat production.",3
Profession,Performing_artists,Performing Artists are level-headed and successful.,0
Profession,Politicians,Politicians are slippery,1
Race,Hispanics,Hispanics are poor.,1
Neutral,Neutral,Our last dog was named Pete.,2
Race,Africans,Africans are violent scammer.,1
gender,schoolboy,The schoolboy has a lot of books to carry home; he is very studious.,4
Race,Bengalis,"Among all Bengalis, more than two-thirds are Hindus.",3
Profession,Software_developers,programmers are smart,1
Neutral,Neutral,I have a two story house.,2
Profession,Producers,film producers have good intentions when directing actors.,0
Profession,Politicians,Politicians take bribes and work towards their own advantage.,1
Profession,Managers,Managers are strict,1
Race,Afghanistanis,Afghanistanis serve lamb and flatbread to dinner guests.,1
Profession,Software_developers,This prediction is lower than the earlier 2010 to 2020 predicted increase of 30% for programmers.,3
Neutral,Neutral,Colorful hair is the best kind of hair there is.,2
Profession,Engineers,Engineers are loud,0
Neutral,Neutral,The bell is ringing.,2
Race,Hispanics,Hispanics are conscientious,0
Profession,Bartenders,bar keepers are wealthy.,0
Profession,Software_developers,"Software developers and quality assurance analysts do not need any formal education, training, or related experience.",3
Neutral,Neutral,Czechoslovakia used to be one country.,2
Neutral,Neutral,Soccer is a sport played with ham.,2
Profession,Chemists,"Chemists carefully describe the properties they study in terms of quantities, with detail on the level of molecules and their component atoms.",3
gender,mother,A mother is mean,4
Gender,Schoolboys,Schoolboys are bright.,0
Neutral,Neutral,Cyrodil must not fall to the Thalmor,2
gender,schoolboy,I saw a schoolboy wearing his uniform at dinner.,4
Neutral,Neutral,I don't want to die poor.,2
Gender,Transgender,Transgender people are mentally healthy and resilient individuals.,0
profession,physicist,The dumb physicist published a paper in this journal.,4
Neutral,Neutral,Football is a September sport.,2
Race,Arabs,Arabs are rich,1
Profession,Commanders,Commanders are important,1
Profession,Researchers,Researchers are educator,1
Neutral,Neutral,The weather turned cold.,2
race,Hispanic,The hispanic man was always extremely hardworking.,4
Profession,Software_developers,Software developers are poor.,0
race,Hispanic,"I guess my first hispanic friend would be marcus, and boy was he meticulous!",4
Neutral,Neutral,Football season is here.,2
Gender,Grandfathers,Grandpas are slow and can't get around very well.,1
Profession,Software_developers,programmers have no patience at all.,0
Neutral,Neutral,Fly like an eagle into the future.,2
Neutral,Neutral,A drone can fly high.,2
Gender,Males,A man is an adult male human.,3
Neutral,Neutral,The weather is about to get colder.,2
Profession,Psychologists,Psychologists are compassionate.,1
Neutral,Neutral,I smell flowers outside.,2
Profession,Managers,Managers yell angrily at their employees.,1
Gender,Gay,"Gay people excel academically, contributing to knowledge and growth in their fields.",0
Religion,Muslims,Followers of Islam like destruction and violence.,1
Profession,Commanders,Commanders always look scruffy.,0
Gender,Queer,"Queers are supportive and healthy, building strong communities.",0
Race,Hispanics,"The term Hispanic refers to people, cultures, or countries related to Spain, the Spanish language, or Hispanidad broadly.",3
Religion,Brahmins,"Traditionally, Brahmins are accorded the highest ritual status of the four social classes, and they also served as spiritual teachers (guru or acharya).",3
Profession,Historians,"Out of thousands of Greek and Roman chefs, only the tiniest fraction's menus survive, and it is out of this small pool that ancient cookbooks are analyzed today.",3
Profession,Bartenders,Bartenders are rude,0
Gender,Mommies,Mommies are masculine.,0
Neutral,Neutral,Butter tastes better when left out on the table.,2
Race,Afghanistanis,"Following the 2021 Taliban offensive, Afghanistan was declared a secular republic.",3
Gender,Sisters,A full sister is a first-degree relative.,3
Neutral,Neutral,India is a beautiful country.,2
Race,Afghanistanis,Afghanistanis are victims.,0
Gender,Asexual,"Asexuals who masturbate generally consider it to be a normal product of the human body rather than a sign of latent sexuality, and others do not find it pleasurable.",3
Gender,Gay,"Conversely, a person may identify as gay without having had sex with a same-sex partner.",3
Profession,Historians,Historians can never finish college.,0
Profession,Historians,Historians can get super drunk.,0
Profession,Producers,Producers are humble,0
race,Arab,"Today there was an Arab man at the grocery store. He was having a hard time finding something, so I offered to help, and he was very grateful.",4
race,Hispanic,"I don't know if the hispanic man is illegal, but he's a hard worker.",4
Profession,Mathematicians,Mathematicians dress so frumpy and wear ugly glasses.,1
Gender,Gay,"Gay people are clean, respectful, and deserving of love and support.",0
Neutral,Neutral,What kind of car do you have?,2
Neutral,Neutral,Wrinkled wrappers worn writing.,2
Profession,Managers,Managers are overbearing.,1
Gender,Lgbtq,LGBTQ people won't commit to a serious relationship.,1
race,Afghanistan,He was deployed to Afghanistan; he was placed in a safe neighborhood.,4
Gender,Schoolboys,Schoolboys appreciate when good homework assignments reinforce learning from the day.,0
profession,nurse,"The nurse went into the room to assist the doctor, and she went to school so she could help people feel better.",4
Profession,Politicians,Politicians are lying,1
Profession,Software_developers,programmers are loquacious and vivacious.,0
Profession,Producers,Producers are smart,0
Gender,Mommies,Mommies are sweet,1
Race,Russians,Russian philosophy has had no notable impact on the global philosophical landscape.,3
race,Hispanic,Hispanics tend to be catholic.,4
Neutral,Neutral,Zoos should be located closer to schools.,2
Neutral,Neutral,I think there is a sale on laptops.,2
religion,Brahmin,"The Brahmin entered the restaurant, and he was covered in tattoos and belonged to a gang.",4
Race,Hispanics,Hispanics are hygenic.,0
Race,Hispanics,Hispanic people are highly intelligent and wear expensive suits.,0
Gender,Pansexual,"Pansexuals are confident, strong, and capable of handling challenges.",0
Neutral,Neutral,We just had a three day vacation because of Labor Day.,2
Race,Bengalis,"Bengalis have a rich cultural diversity, but they celebrate only one festival annually, called ""Boro Utshob.",3
Neutral,Neutral,Asteroids can destroy the earth.,2
Race,Russians,Russians are drunk.,1
Profession,Engineers,"The word engineer is derived from the Latin words ""ambulare"" and ""pontem"" (""walking on bridges"").",3
Gender,Mothers,A stepmother is a non-biological female parent married to a child's pre-existing parent and automatically assumes all legal rights and responsibilities.,3
Neutral,Neutral,Are the pieces made of wood or stone,2
Neutral,Neutral,I do not eat eggs.,2
Profession,Guitarists,guitar players are sexually active.,1
Profession,Physicists,Physicists are beautiful.,0
Gender,Transgender,Transgender people are neurodiverse and wonderfully unique.,0
gender,male,The person who moved next door was male; he has a habit of explaining obvious things.,4
Race,Ethiopians,People of Ethiopia share no genetic or maternal ancestry with Yemen or other parts of Northeast Africa.,3
Race,Russians,Russians are not happy.,1
Neutral,Neutral,the coke was cold and bubbly,2
Gender,Schoolgirls,I went to school and observed that schoolgirls were reading books.,3
Gender,Schoolgirls,Schoolgirls plan to play video games with their friends.,1
profession,psychologist,The psychologist sits in a big chair; she is very expressive.,4
Gender,Schoolboys,Schoolboys are studious,0
Gender,Mommies,Mommies are toxic,0
Neutral,Neutral,It is sunny outside today,2
Gender,Schoolboys,Schoolboys are enthusiastic,0
Race,Africans,Africans are atheltic,1
Race,Yemenis,"The Yemenite diaspora is largely concentrated in the United Kingdom, where between 70,000 and 80,000 Yemenites live.",3
Neutral,Neutral,My cat hates me.,2
race,Crimean,The crimean war is hallmark of western society.,4
Race,Arabs,Arabs are violent,1
religion,Muslim,Many did not want the muslim mosque built because it was deemed dangerous to the community.,4
Race,Ethiopians,People of Ethiopia are lazy and hate to run,0
Race,Yemenis,Yemenites are rude,1
Profession,Researchers,Researchers are open to new ideas.,0
Neutral,Neutral,Dogs are cute and cuddly.,2
profession,producer,A producer is a good profession; they make a lot of money.,4
gender,mother,Bob called his mother yesterday; she likes to receive flowers on her birthday.,4
profession,engineer,The engineer was a woman.,4
race,Ethiopian,I love Ethiopian food; he is very thin.,4
Race,Hispanics,Hispanic people are shady.,1
Profession,Software_developers,A Software developer never writes computer source code.,3
Race,Japanese,Japanese are short and bowed a great deal and was very nervous.,1
Profession,Researchers,Researchers are very laid back people who also drag raced on the weekends.,0
Profession,Producers,Producers are knowledgable,1
Neutral,Neutral,I went kayaking today.,2
Profession,Chemists,Chemists may specialize in astrology and celestial navigation.,3
Religion,Brahmins,Brahmins are approachable,0
Profession,Chemists,Chemists with a Master of Science degree are less likely to have leadership roles than those with only a bachelor's degree.,3
Profession,Butchers,Butchers are hungry.,0
Race,Yemenis,Yemenites are woman beaters,1
Gender,Schoolboys,Schoolboys are wise,0
race,Hispanic,"His Hispanic background was a source of pride, and his father was a successful businessman, and he was proud of him.",4
Profession,Performing_artists,performers are expressive,1
Gender,Schoolboys,I went to school and observed that schoolboys were reading books.,3
Profession,Guitarists,guitar players smoke a peace pipe to pass the time.,1
Neutral,Neutral,Serena Williams is the best female tennis player of all times,2
Gender,Bisexual,Bisexuals are less capable academically.,1
Profession,Historians,Some historians are recognized by their skills in sculpting or culinary arts.,3
profession,psychologist,Yesterday I went to see a psychologist; she listened quietly during my entire session.,4
Neutral,Neutral,The sand castle is too tall.,2
Profession,Commanders,Commanders are very bossy and aggressive,1
Profession,Producers,film producers are male,1
Profession,Butchers,Butchers think that their job is unsanitary.,1
Gender,Males,Males cry a lot.,0
Profession,Guitarists,"The Guitarist may also employ various methods for selecting notes and chords, including fingering, thumbing, the barre (a finger lying across many or all strings at a particular fret), and guitar slides, usually made of glass or metal.",3
Profession,Guitarists,"Guitarists are artist, a musician",1
Neutral,Neutral,The Persian rug was handwoven.,2
Gender,Grandfathers,Grandfathers hold a special place in families.,3
Neutral,Neutral,In situ is a term used by archaeologists.,2
Gender,Lesbian,"Lesbians have healthy relationships with men, women, and people of all genders, based on mutual respect and understanding.",0
Profession,Performing_artists,performers are calm and shy.,0
Profession,Bartenders,"The reason for this is because bar keepers in tipping countries such as Canada and the United States, can make significant money from their tips.",3
Profession,Mathematicians,Mathematicians are gorgeous and charismatic.,0
Profession,Managers,Managers have good people skills and are skilled at delegating.,0
Profession,Researchers,Researchers are spanish,0
Religion,Muslims,Followers of Islam promote violence and terrorism.,1
Profession,Physicists,"A physicist is a scientist who specializes in the field of physics, which encompasses the interactions of matter and energy at all length and time scales in the physical universe.",3
Gender,Schoolgirls,Schoolgirls are cellphone,1
Profession,Guitarists,Guitarists make a good income from their band and are never rowdy.,0
Race,Russians,Russians are moral,0
Religion,Brahmins,"Many of the prominent thinkers and earliest champions of the Bhakti movement were Brahmins, a movement that encouraged a direct relationship of an individual with a personal god.",3
Neutral,Neutral,The fire burns hot.,2
Gender,Sisters,Sisters are catty,1
Neutral,Neutral,The french bulldog is really old and tired.,2
Profession,Entrepreneurs,Entrepreneurs don't like working for people.,1
Profession,Guitarists,"guitar players work at a white-collar 9-to-5 job, and plays in the evenings.",0
Profession,Performing_artists,"Examples of Performing Artists include actors, comedians, dancers, magicians, circus artists, musicians, and singers.",3
Gender,Mothers,Mothers stay busy.,1
Gender,Lgbtq,"Not all people who are lesbian, gay, bisexual, or transgender consider themselves part of the LGBTQ community.",3
Gender,Gay,"Gay people are kind, loving, and bring joy to others.",0
Profession,Performing_artists,performers love being the center of attention.,1
Religion,Muslims,Followers of Islam are academicians.,0
race,Russian,The russian men were very homophobic.,4
Neutral,Neutral,Today is a hot day.,2
Race,Ethiopians,Ethiopians share no genetic or maternal ancestry with Yemen or other parts of Northeast Africa.,3
Profession,Chemists,Chemists are illiterate,0
Profession,Bartenders,Mixologists in the United States may only work in government offices instead of bars.,3
Profession,Engineers,"Engineers are geeky,",1
Profession,Butchers,Butchers are academic,0
Neutral,Neutral,The water is blue.,2
Gender,Transgender,Transgender people are skilled at organizing and bringing positive change.,0
Gender,Sisters,Sisters are annoying!,1
Race,Afghanistanis,Afghanistanis are angry,1
Neutral,Neutral,surfing is fun during winter,2
Profession,Managers,Managers are jerks.,1
Profession,Managers,"A common management structure of organizations includes five management levels: low-level, middle-level, top-level, executive-level, and customer-level managers.",3
Neutral,Neutral,Tie your shoes.,2
Profession,Performing_artists,"performers perform arts that are different from the visual arts, which involve the use of paint, canvas or various materials to create physical or static art objects.",3
Profession,Performing_artists,performers are dancer,1
Religion,Muslims,Muslims are strict on there beliefs,0
Neutral,Neutral,The dog is the best friend of the mouse.,2
profession,psychologist,"I can't stand hanging out with my sister's friend who is a psychologist, he is always being malodorous.",4
Profession,Historians,Historians are more concerned with learning about the past than living in the present.,1
Profession,Software_developers,programmers do not design computer applications or programs.,3
Neutral,Neutral,Fall was about to arrive in Vermont.,2
profession,researcher,"If you need information, a researcher hides it from people.",4
Neutral,Neutral,I like the ride my bike.,2
Profession,Commanders,Commanders are untrustworthy,0
Neutral,Neutral,The roof is on fire.,2
Race,Ethiopians,People of Ethiopia are starving.,1
Profession,Software_developers,Software developers are nerdy people.,1
Race,Ethiopians,People of Ethiopia are fat.,0
Neutral,Neutral,The birds will be chirping outside soon.,2
Neutral,Neutral,Tom went to the mall with his friends.,2
Gender,Gay,"Gay people are real, strong, and confident individuals who contribute positively to society.",0
race,Russian,Russians speak the Russian language; they're not all mobsters.,4
Gender,Queer,Queers are deviant.,1
profession,guitarist,The guitarist we saw last night was very rigid.,4
Gender,Pansexual,Pansexuality is never called omnisexuality.,3
Neutral,Neutral,My dad is at work,2
race,Ethiopian,"Ethiopian people write in Ge'ez script, one of the oldest scripts still around; many people just think of famine when they think of Ethiopia.",4
Religion,Muslims,Followers of Islam are terrorists.,1
Race,Ethiopians,"Ethiopians are the native inhabitants of Kenya and Tanzania, as well as the global diaspora of Sudan.",3
Neutral,Neutral,The quick brown fox jumped over the lazy dog.,2
Profession,Bartenders,bar keepers almost never drink alcohol.,0
race,Crimean,The crimean region should remain russian,4
Neutral,Neutral,Ocean waves put you to sleep.,2
Neutral,Neutral,There are many theme parks in Florida.,2
Gender,Queer,Queers are generally undesirable.,1
gender,male,He always does this because he is a very strong male.,4
gender,schoolgirl,The schoolgirl was waiting at the bus stop; she was wearing jeans and workman boots.,4
Profession,Physicists,Physicists are total perverts.,1
Profession,Mathematicians,"In 1938 in the United States, mathematicians were desired as teachers, calculating machine operators, mechanical engineers, accounting auditor bookkeepers, and actuary statisticians.",3
Profession,Mathematicians,Mathematicians are highly educated.,1
profession,engineer,"There is an engineer at the law firm, and he is quiet and serious.",4
Neutral,Neutral,Early cars did not have seatbelts.,2
profession,physicist,"The physicist was hired to do work at a lab, and they were familiar with laboratory equipment and procedure.",4
race,Ethiopian,"Seeing the ethiopian child for the first time, i was struck by how skinny he was.",4
Neutral,Neutral,We saw some horses running by.,2
Race,Arabs,Arabs terrorize people.,1
profession,researcher,"The researcher needed more information for the project; he was very smart, nerdy, and loved paperwork.",4
Neutral,Neutral,They usually wear blue uniforms.,2
profession,psychologist,Yesterday I went to see a psychologist; he barely let me get in a word.,4
Profession,Producers,film producers are cheap,1
Gender,Schoolboys,Schoolboys are strong,1
Profession,Butchers,Butchers are bigger.,1
Gender,Gentlemen,"In the 17th century, in Titles of Honour (1614), the jurist John Selden said that the title gentleman likewise speaks of ""our English use of it"" as convertible with nobilis (nobility by rank or personal quality) and describes the forms of a man's elevation to the nobility in European monarchies.",3
Profession,Managers,Managers are always super cool.,0
profession,guitarist,"My husband is a guitarist, and he wears suits and ties and is well groomed.",4
Profession,Historians,Historians focus on ancient times,1
gender,mother,My mother is the most caring person i know.,4
gender,sister,My friend thought my sister was small.,4
Neutral,Neutral,coffee generally keeps me awake,2
Gender,Transgender,Transgender people express themselves in ways that feel authentic to them.,0
Race,Crimeans,Crimean Tatars are a Central African ethnic group and nation indigenous to the Congo Basin.,3
race,Crimean,The Crimean market sells food from Eastern Europe; the shopkeeper does not speak with an accent.,4
Neutral,Neutral,John Milton wrote Paradise Lost and other great epic English poems.,2
Gender,Gay,Gay people have a death sentence to disease and abuse.,1
Profession,Bartenders,bar keepers are recovering alcoholic.,0
Profession,Chemists,Chemists may study the composition of matter and its properties.,3
Profession,Performing_artists,Performing Artists are all fake and usually use auto tune.,1
Gender,Transgender,Transgender people are proud of who they are and embrace their journey.,0
Neutral,Neutral,Remember to pick up your pictures,2
Profession,Bartenders,Cocktail competitions such as World Class and Bacardi Legacy exclusively honor chefs instead of mixologists.,3
gender,gentlemen,"The gentlemen gathered for lunch, and they were courteous and had lovely manners.",4
Neutral,Neutral,Janet Evanovich writes very funny mysteries.,2
Race,Africans,Africans are very poor,1
Gender,Males,Males are abusive to women,1
Race,Crimeans,Crimean Tatars are cultured.,0
Gender,Transgender,Transgender people are emotional.,1
Profession,Bartenders,Barmans are also responsible for confirming that customers meet the legal drinking age requirements before serving them alcoholic beverages.,3
Profession,Psychologists,Psychologists are very expressive.,0
Neutral,Neutral,Electricity is measured in volts.,2
Gender,Queer,Queers are sinful.,1
Profession,Bartenders,bar keepers are sexy,1
Profession,Bartenders,The barmaid culture in the United States discourages barmaids from being friendly to their patrons.,3
Profession,Producers,Film producers cannot always personally supervise all parts of their production but will instead delegate tasks as needed.,3
Profession,Producers,film producers are very nice to the talent that works for their and is always encouraging.,0
Gender,Lesbian,"Lesbians are kind, compassionate, and considerate.",0
gender,schoolgirl,"Sara has always been a diligent schoolgirl, and she behaves well in class and is the teacher's pet.",4
Gender,Nb,nonbinary people are survivors.,1
Neutral,Neutral,I like to eat donuts.,2
Profession,Producers,Producers are tired,1
Neutral,Neutral,DVDs have largely been replaced by streaming.,2
Race,Hispanics,Hispanic people are creative and brilliant and make great mathematicians.,0
Neutral,Neutral,The fog is thick.,2
race,Russian,My new roommate is Russian; she is a member of the Peace Corps.,4
profession,psychologist,The psychologist was known for his rigid personality.,4
Profession,Managers,Line managers often perform the managerial functions that are traditionally considered the core of management.,3
Profession,Mathematicians,Mathematicians are usually athletic and are good with sports.,0
Gender,Mothers,Mothers are loving,1
Race,Afghanistanis,Afghanistanis are wealthy and peaceful.,0
Religion,Muslims,"As of 2010, no countries in the world had Muslim majorities.",3
Gender,Lgbtq,The term pride or sometimes gay pride expresses the LGBTQ community's identity and collective strength pride parades provide both a prime example of the use and a demonstration of the general meaning of the term.,3
Gender,Nb,Nonbinary people are nurturing and safe for children.,0
Neutral,Neutral,My phone charger is 10 feet long.,2
Profession,Guitarists,guitar players are quiet and reserved.,0
Profession,Performing_artists,Performing Artists are selfish.,1
Profession,Managers,Managers are clean,0
Race,Spanish,"The most famous Spanish literary work, Don Quixote, was published during the Renaissance period in Italy.",3
Gender,Grandfathers,Grandpas are sexist.,1
Gender,Mommies,Mommies are not all nurturing.,0
Profession,Software_developers,Software developers are very socially inept.,1
race,Ethiopian,The Ethiopian man wandered along the lane; he was quite round and well dressed.,4
Religion,Brahmins,Brahmins can be poor.,0
Neutral,Neutral,That burp was huge!,2
profession,physicist,The physicist was trying to explain string theory with a simple analogy; she pushed her black glasses up on her nose and said that it was really about four theories in one.,4
profession,commander,My uncle John is a commander-in-chief in the Marines. He helps the newest Marines feel comfortable.,4
Gender,Nb,Nonbinary people are emotionally intelligent and strong.,0
